18	Arctic Sea	Mer Arctique	Mar Ártico
21	Atlantic, Northwest	Atlantique, nord-ouest	Atlántico, noroeste
21.0	Atlantic, Northwest / 21.0	Atl NW / 21.0	Atl NW / 21.0
21.0.A	Atlantic, Northwest / 21.0.A	Atl NW / 21.0.A	Atl NW / 21.0.A
21.0.B	Atlantic, Northwest / 21.0.B	Atl NW / 21.0.B	Atl NW / 21.0.B
21.1	Atlantic, Northwest / 21.1	Atl NW / 21.1	Atl NW / 21.1
21.1.A	Atlantic, Northwest / 21.1.A	Atl NW / 21.1.A	Atl NW / 21.1.A
21.1.B	Atlantic, Northwest / 21.1.B	Atl NW / 21.1.B	Atl NW / 21.1.B
21.1.C	Atlantic, Northwest / 21.1.C	Atl NW / 21.1.C	Atl NW / 21.1.C
21.1.D	Atlantic, Northwest / 21.1.D	Atl NW / 21.1.D	Atl NW / 21.1.D
21.1.E	Atlantic, Northwest / 21.1.E	Atl NW / 21.1.E	Atl NW / 21.1.E
21.1.F	Atlantic, Northwest / 21.1.F	Atl NW / 21.1.F	Atl NW / 21.1.F
21.2	Atlantic, Northwest / 21.2	Atl NW / 21.2	Atl NW / 21.2
21.2.G	Atlantic, Northwest / 21.2.G	Atl NW / 21.2.G	Atl NW / 21.2.G
21.2.H	Atlantic, Northwest / 21.2.H	Atl NW / 21.2.H	Atl NW / 21.2.H
21.2.J	Atlantic, Northwest / 21.2.J	Atl NW / 21.2.J	Atl NW / 21.2.J
21.3	Atlantic, Northwest / 21.3	Atl NW / 21.3	Atl NW / 21.3
21.3.K	Atlantic, Northwest / 21.3.K	Atl NW / 21.3.K	Atl NW / 21.3.K
21.3.L	Atlantic, Northwest / 21.3.L	Atl NW / 21.3.L	Atl NW / 21.3.L
21.3.M	Atlantic, Northwest / 21.3.M	Atl NW / 21.3.M	Atl NW / 21.3.M
21.3.N	Atlantic, Northwest / 21.3.N	Atl NW / 21.3.N	Atl NW / 21.3.N
21.3.O	Atlantic, Northwest / 21.3.O	Atl NW / 21.3.O	Atl NW / 21.3.O
21.3.P	Atlantic, Northwest / 21.3.P	Atl NW / 21.3.P	Atl NW / 21.3.P
21.3.P.n	Atlantic, Northwest / 21.3.P.n	Atl NW / 21.3.P.n	Atl NW / 21.3.P.n
21.3.P.s	Atlantic, Northwest / 21.3.P.s	Atl NW / 21.3.P.s	Atl NW / 21.3.P.s
21.4	Atlantic, Northwest / 21.4	Atl NW / 21.4	Atl NW / 21.4
21.4.R	Atlantic, Northwest / 21.4.R	Atl NW / 21.4.R	Atl NW / 21.4.R
21.4.S	Atlantic, Northwest / 21.4.S	Atl NW / 21.4.S	Atl NW / 21.4.S
21.4.T	Atlantic, Northwest / 21.4.T	Atl NW / 21.4.T	Atl NW / 21.4.T
21.4.V	Atlantic, Northwest / 21.4.V	Atl NW / 21.4.V	Atl NW / 21.4.V
21.4.V.n	Atlantic, Northwest / 21.4.V.n	Atl NW / 21.4.V.n	Atl NW / 21.4.V.n
21.4.V.s	Atlantic, Northwest / 21.4.V.s	Atl NW / 21.4.V.s	Atl NW / 21.4.V.s
21.4.W	Atlantic, Northwest / 21.4.W	Atl NW / 21.4.W	Atl NW / 21.4.W
21.4.X	Atlantic, Northwest / 21.4.X	Atl NW / 21.4.X	Atl NW / 21.4.X
